"","id","Year","Value"
"119.1985",119,1985,400
"8147.1985",8147,1985,0.8
"28.1985",28,1985,57
"4914.1985",4914,1985,244
"128.1985",128,1985,42
"117.1985",117,1985,28
"5814.1985",5814,1985,45
"5815.1985",5815,1985,22
"5816.1985",5816,1985,6
"632.1985",632,1985,6837
"11051.1985",11051,1985,25
"11048.1985",11048,1985,800
"11049.1985",11049,1985,451
"492.1985",492,1985,1000
"10781.1985",10781,1985,16
"5085.1985",5085,1985,0.75
"5086.1985",5086,1985,2
"2356.1985",2356,1985,18
"6166.1985",6166,1985,12.5
"3421.1985",3421,1985,1.7
"3488.1985",3488,1985,2.8
"5087.1985",5087,1985,1
"5088.1985",5088,1985,0.2
"604.1985",604,1985,23
"11298.1985",11298,1985,30
"8081.1985",8081,1985,580
"5817.1985",5817,1985,140
"10780.1985",10780,1985,14
"11483.1986",11483,1986,11.31
"13287.1986",13287,1986,10
"4955.1986",4955,1986,27
"18306.1986",18306,1986,700
"42.1986",42,1986,0.11
"3485.1986",3485,1986,8
"4633.1986",4633,1986,2.9
"4916.1986",4916,1986,83
"3480.1986",3480,1986,0.56
"3478.1986",3478,1986,65
"6189.1986",6189,1986,53.5
"8147.1986",8147,1986,0.5
"28.1986",28,1986,50
"41.1986",41,1986,50
"4914.1986",4914,1986,204
"5249.1986",5249,1986,1588
"5250.1986",5250,1986,63
"5248.1986",5248,1986,4263
"128.1986",128,1986,41
"117.1986",117,1986,29
"5814.1986",5814,1986,0
"5815.1986",5815,1986,37
"5816.1986",5816,1986,13
"5090.1986",5090,1986,0.9
"632.1986",632,1986,6974
"3412.1986",3412,1986,17.8
"3486.1986",3486,1986,28
"118.1986",118,1986,350
"629.1986",629,1986,9
"10781.1986",10781,1986,12
"4626.1986",4626,1986,6.5
"5085.1986",5085,1986,0.1
"5086.1986",5086,1986,2.8
"3484.1986",3484,1986,49.5
"2356.1986",2356,1986,1
"6166.1986",6166,1986,19.5
"3415.1986",3415,1986,11
"3487.1986",3487,1986,45.5
"3421.1986",3421,1986,1
"3488.1986",3488,1986,6
"5087.1986",5087,1986,1.1
"5088.1986",5088,1986,0.4
"3419.1986",3419,1986,68.75
"3489.1986",3489,1986,68.75
"3416.1986",3416,1986,7
"3490.1986",3490,1986,42
"3413.1986",3413,1986,19
"3491.1986",3491,1986,15
"3414.1986",3414,1986,6.25
"3492.1986",3492,1986,48.5
"3417.1986",3417,1986,7.85
"3493.1986",3493,1986,51.5
"604.1986",604,1986,23
"11298.1986",11298,1986,28
"8081.1986",8081,1986,710
"3420.1986",3420,1986,57.3
"3494.1986",3494,1986,0
"5817.1986",5817,1986,130
"10780.1986",10780,1986,10
"11483.1987",11483,1987,10.27
"13287.1987",13287,1987,12
"22756.1987",22756,1987,20
"22822.1987",22822,1987,450
"22841.1987",22841,1987,3000
"22852.1987",22852,1987,160
"22758.1987",22758,1987,20
"22824.1987",22824,1987,200
"22843.1987",22843,1987,7800
"22854.1987",22854,1987,700
"10685.1987",10685,1987,45
"4955.1987",4955,1987,24
"42.1987",42,1987,0.145
"4594.1987",4594,1987,29
"3485.1987",3485,1987,4
"4633.1987",4633,1987,3.4
"4916.1987",4916,1987,89
"3480.1987",3480,1987,0.74
"3478.1987",3478,1987,63
"6189.1987",6189,1987,73
"8147.1987",8147,1987,0.5
"22757.1987",22757,1987,120
"22823.1987",22823,1987,550
"22842.1987",22842,1987,9200
"22853.1987",22853,1987,1050
"28.1987",28,1987,49
"4914.1987",4914,1987,213
"128.1987",128,1987,43
"22753.1987",22753,1987,750
"22819.1987",22819,1987,650
"22838.1987",22838,1987,13000
"22849.1987",22849,1987,240
"117.1987",117,1987,16
"22755.1987",22755,1987,80
"22821.1987",22821,1987,310
"22840.1987",22840,1987,4800
"22851.1987",22851,1987,300
"22761.1987",22761,1987,1000
"22827.1987",22827,1987,50
"22846.1987",22846,1987,13000
"22857.1987",22857,1987,1700
"5814.1987",5814,1987,3
"5815.1987",5815,1987,41
"22759.1987",22759,1987,550
"22825.1987",22825,1987,400
"22844.1987",22844,1987,7200
"22855.1987",22855,1987,1500
"5816.1987",5816,1987,5
"5090.1987",5090,1987,1.2
"5089.1987",5089,1987,0.1
"4837.1987",4837,1987,0.05
"4838.1987",4838,1987,1.25
"4839.1987",4839,1987,2
"4840.1987",4840,1987,0.72
"4842.1987",4842,1987,3.6
"632.1987",632,1987,7253
"22763.1987",22763,1987,2500
"22829.1987",22829,1987,10
"22848.1987",22848,1987,4400
"22859.1987",22859,1987,1650
"3412.1987",3412,1987,10
"3486.1987",3486,1987,29
"22760.1987",22760,1987,2000
"22826.1987",22826,1987,100
"22845.1987",22845,1987,40000
"22856.1987",22856,1987,3800
"4963.1987",4963,1987,30
"4363.1987",4363,1987,1
"10781.1987",10781,1987,9
"4626.1987",4626,1987,6.5
"5085.1987",5085,1987,1.25
"5086.1987",5086,1987,1.5
"3418.1987",3418,1987,11
"3484.1987",3484,1987,19.5
"2356.1987",2356,1987,4
"6166.1987",6166,1987,34.5
"22754.1987",22754,1987,90
"22820.1987",22820,1987,270
"22839.1987",22839,1987,6300
"22850.1987",22850,1987,80
"3415.1987",3415,1987,15
"3487.1987",3487,1987,35.5
"3421.1987",3421,1987,3.5
"3488.1987",3488,1987,3.5
"3419.1987",3419,1987,75
"3489.1987",3489,1987,75
"3416.1987",3416,1987,14
"3490.1987",3490,1987,36.5
"3413.1987",3413,1987,16
"3491.1987",3491,1987,29
"3414.1987",3414,1987,13
"3492.1987",3492,1987,62.5
"22762.1987",22762,1987,500
"22828.1987",22828,1987,50
"22847.1987",22847,1987,12000
"22858.1987",22858,1987,1150
"3417.1987",3417,1987,4.8
"3493.1987",3493,1987,55.5
"604.1987",604,1987,27
"11298.1987",11298,1987,26
"3420.1987",3420,1987,31.25
"3494.1987",3494,1987,14
"10782.1987",10782,1987,510
"8076.1987",8076,1987,1215
"5817.1987",5817,1987,145
"10780.1987",10780,1987,8
"11483.1988",11483,1988,17.55
"13287.1988",13287,1988,15
"4955.1988",4955,1988,15
"18306.1988",18306,1988,525
"42.1988",42,1988,0.155
"4594.1988",4594,1988,45
"3485.1988",3485,1988,22
"8103.1988",8103,1988,0
"4633.1988",4633,1988,2.9
"4916.1988",4916,1988,95
"127.1988",127,1988,100
"3480.1988",3480,1988,0.66
"3478.1988",3478,1988,54
"6189.1988",6189,1988,110
"8147.1988",8147,1988,0.5
"28.1988",28,1988,68
"4914.1988",4914,1988,200
"128.1988",128,1988,43
"117.1988",117,1988,22
"5814.1988",5814,1988,14
"5815.1988",5815,1988,5
"5816.1988",5816,1988,9
"5090.1988",5090,1988,3.4
"4837.1988",4837,1988,0.04
"4838.1988",4838,1988,1.05
"4839.1988",4839,1988,1.3
"4840.1988",4840,1988,0.33
"4842.1988",4842,1988,2.6
"632.1988",632,1988,7780
"3412.1988",3412,1988,14.3
"3486.1988",3486,1988,7
"4963.1988",4963,1988,40
"4363.1988",4363,1988,2.2
"2233.1988",2233,1988,4000
"10781.1988",10781,1988,8
"4626.1988",4626,1988,3
"5085.1988",5085,1988,1
"5086.1988",5086,1988,5.8
"3418.1988",3418,1988,10.35
"3484.1988",3484,1988,45
"2356.1988",2356,1988,4
"6166.1988",6166,1988,19
"18761.1988",18761,1988,2.7948
"18771.1988",18771,1988,8.1114
"3415.1988",3415,1988,5.85
"3487.1988",3487,1988,47
"3421.1988",3421,1988,1.35
"3488.1988",3488,1988,4.75
"3419.1988",3419,1988,68.75
"3489.1988",3489,1988,68.75
"3416.1988",3416,1988,10
"3490.1988",3490,1988,57
"3413.1988",3413,1988,15
"3491.1988",3491,1988,36
"3414.1988",3414,1988,8
"3492.1988",3492,1988,64.5
"123.1988",123,1988,32
"3417.1988",3417,1988,10
"3493.1988",3493,1988,78
"604.1988",604,1988,25
"11298.1988",11298,1988,26
"3420.1988",3420,1988,17.5
"3494.1988",3494,1988,35.5
"8076.1988",8076,1988,1188
"5817.1988",5817,1988,165
"10780.1988",10780,1988,7
"11483.1989",11483,1989,10.27
"13287.1989",13287,1989,19
"11486.1989",11486,1989,11.89
"4955.1989",4955,1989,24
"42.1989",42,1989,0.12
"43.1989",43,1989,1.08
"4594.1989",4594,1989,45
"3485.1989",3485,1989,21
"8103.1989",8103,1989,1
"4633.1989",4633,1989,2.2
"4916.1989",4916,1989,85
"127.1989",127,1989,80
"3480.1989",3480,1989,0.98
"3478.1989",3478,1989,53
"14539.1989",14539,1989,20
"6189.1989",6189,1989,121.5
"8147.1989",8147,1989,0.54
"28.1989",28,1989,56
"4914.1989",4914,1989,202
"128.1989",128,1989,38
"10733.1989",10733,1989,8.25
"117.1989",117,1989,18
"5814.1989",5814,1989,40
"5815.1989",5815,1989,26
"5816.1989",5816,1989,0
"5090.1989",5090,1989,1.3
"4837.1989",4837,1989,0.025
"4838.1989",4838,1989,0.6
"4839.1989",4839,1989,1.2
"4840.1989",4840,1989,0.32
"4842.1989",4842,1989,3.1
"632.1989",632,1989,7770
"3412.1989",3412,1989,46.45
"3486.1989",3486,1989,66
"4963.1989",4963,1989,40
"234.1989",234,1989,4334
"4363.1989",4363,1989,4.2
"10732.1989",10732,1989,3.95
"11491.1989",11491,1989,1.62
"10781.1989",10781,1989,9
"4626.1989",4626,1989,5
"3418.1989",3418,1989,11
"3484.1989",3484,1989,40
"2356.1989",2356,1989,8
"6166.1989",6166,1989,17
"18761.1989",18761,1989,4.4727
"18771.1989",18771,1989,13.9254
"3415.1989",3415,1989,21
"3487.1989",3487,1989,37.5
"3419.1989",3419,1989,72
"3489.1989",3489,1989,72
"11490.1989",11490,1989,5.15
"10778.1989",10778,1989,2
"3416.1989",3416,1989,9
"3490.1989",3490,1989,63
"3413.1989",3413,1989,15
"3491.1989",3491,1989,38
"3414.1989",3414,1989,18
"3492.1989",3492,1989,45
"3417.1989",3417,1989,6
"3493.1989",3493,1989,75
"604.1989",604,1989,23
"11298.1989",11298,1989,22
"3420.1989",3420,1989,7.5
"3494.1989",3494,1989,42
"8076.1989",8076,1989,1294
"5817.1989",5817,1989,142
"10780.1989",10780,1989,8
"11483.1990",11483,1990,14.91
"13287.1990",13287,1990,16
"11486.1990",11486,1990,22.31
"6128.1990",6128,1990,7.8
"22756.1990",22756,1990,20
"22822.1990",22822,1990,450
"22841.1990",22841,1990,3000
"22852.1990",22852,1990,160
"9888.1990",9888,1990,0
"9864.1990",9864,1990,0
"22758.1990",22758,1990,20
"22824.1990",22824,1990,200
"22843.1990",22843,1990,7800
"22854.1990",22854,1990,800
"5813.1990",5813,1990,0.15
