Tag,id,Citation_trim,Citation,Class,Order,Family,Genus,Species,SubSpecies,Authority,CommonName,Estimated_area_num,Estimated_area_cat,Units,PopulationLocation,CountryList,Region,DecimalLatitude,DecimalLongitude,SpecificCoordinate,system,biome,realm,Native,Alien,Invasive,Units,SamplingMethod,DataTransformed
NA,11018,A monitoring program for the amur tiger: Thirteenth-year report 1998-2010," Wildlife Conservation Society, R. F. E. P. (2010). A monitoring program for the amur tiger: Thirteenth-year report 1998-2010. E. I. Nikolaeva, Wildlife Conservation Society: 1-25.",Mammalia,Carnivora,Felidae,Panthera,tigris,altaica,"Hilzheimer, 1905",Tiger,454.39,NA,km2,"Bolshe-Khekhtsirsky Zapovednik, Russian Far East",Russian Federation,Asia,48.18333,134.86667,TRUE,Terrestrial,Flooded grasslands and savannas,Palearctic,Yes,No,No,Number of independent tigers,Expert assessment based on tiger tracks,No
NA,11280,The status of bears and restoration projects on the Korean Peninsula.," Han, S.-H. (2006). The status of bears and restoration projects on the Korean Peninsula.",Mammalia,Carnivora,Ursidae,Ursus,thibetanus,,"(Cuvier, 1823)",Asiatic black bear,471.75,NA,km2,"Jirisan Mountains, Republic of Korea","Korea, Republic Of",Asia,35.31667,127.71667,TRUE,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,Yes,No,No,Individuals,Simple survey (very limited details given in source),No
NA,11028,"Status of the Tigers, Co-predators, and Prey in India, 2010"," National Tiger Conservation Authority (2011). Status of the Tigers, Co-predators, and Prey in India, 2010. Y. V. Jhala, Q. Qureshi, R. Gopal and P. R. Sinha, Wildlife Institute of India: 1-169.",Mammalia,Carnivora,Felidae,Panthera,tigris,tigris,"Hilzheimer, 1905",Tiger,520.8,NA,km2,"Corbett, Uttarakhand, India",India,Asia,29.45,79.13333,TRUE,Terrestrial,Tropical and subtropical coniferous forests,Indo-Malayan,Yes,No,No,Tiger abundance,Sign and encounter rates and mark-recapture based on camera trapping,No
NA,18002,La conservation du loup (Canis lupus) au parc national de la Mauricie,"Villemure, M. and D. Masse (2004). La conservation du loup (Canis lupus) au parc national de la Mauricie."" Le Naturaliste Canadien 128(1): 35-42.""",Mammalia,Carnivora,Canidae,Canis,lupus,,"Linnaeus, 1758",Grey wolf / Gray wolf,536,NA,km2,"La Mauricie National Park, Quebec",Canada,North America,46.778085,-72.957967,TRUE,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,Yes,No,No,Individuals per 100km²,Maximum number of wolves observed together determined through observation of tracks and wolves seen or heard. Sum of maximum number of wolves seen together in different territories was divided the total area of all territories.,No
Gopal2010383,11053,Evaluating the status of the Endangered tiger Panthera tigris and its prey in Panna Tiger Reserve  Madhya Pradesh  India," Gopal, R., Q. Qureshi, et al. (2009). Evaluating the status of the Endangered tiger Panthera tigris and its prey in Panna Tiger Reserve  Madhya Pradesh  India."" Oryx 44(3): 383-389.""",Mammalia,Carnivora,Felidae,Panthera,tigris,tigris,"Hilzheimer, 1905",Tiger,542.7,NA,km2,"Panna tiger reserve, India",India,Asia,24.58333,80,TRUE,Terrestrial,Tropical and subtropical dry broadleaf forests,Indo-Malayan,Yes,No,No,Tiger density (tigers/km²),Camera trap capture recapture,No
NA,10685,Estimation of the Iberian lynx (&lt;i&gt;Lynx pardinus&lt;/i&gt;) population in the Doñana area  SW Spain  using capture–recapture analysis of camera-trapping data," Garrote, G., R. Perez de Ayala, et al. (2011). Estimation of the Iberian lynx (&lt;i&gt;Lynx pardinus&lt;/i&gt;) population in the Doñana area  SW Spain  using capture–recapture analysis of camera-trapping data."" European Journal of Wildlife Research 57(2): 355-362.""",Mammalia,Carnivora,Felidae,Lynx,pardinus,,"Temminck, 1827",Iberian lynx,543,NA,km2,Doñana National Park and peripheral area,Spain,Europe,36.93333,-6.35,TRUE,Terrestrial,Mediterranean forests  woodlands and scrub,Palearctic,Yes,No,No,Population estimate,Camera trapping sign sampling,No
NA,598,Spanish Lynx in Trouble," IUCN/SSC Cat Specialist Group (1985). Spanish Lynx in Trouble. Cat News. P. Jackson, IUCN. 1985.",Mammalia,Carnivora,Felidae,Lynx,pardinus,,"Temminck, 1827",Iberian lynx,543,NA,km2,"Doñana National Park, Spain",Spain,Europe,36.98778,-6.40667,TRUE,Terrestrial,Mediterranean forests  woodlands and scrub,Palearctic,Yes,No,No,Number of individuals,Estimate,No
NA,10690,Censo de la población de lince ibérico 2010," LIFE Naturaleza (2010). Censo de la población de lince ibérico 2010. Conservación y Reintroducción del Lince Ibérico (Lynx pardinus) en Andalucía, Junta de Andalucia: 1-11.",Mammalia,Carnivora,Felidae,Lynx,pardinus,,"Temminck, 1827",Iberian lynx,543,NA,km2,"Doñana-Aljarafe, Spain",Spain,Europe,36.93333,-6.35,TRUE,Terrestrial,Mediterranean forests  woodlands and scrub,Palearctic,Yes,No,No,Total number of territorial females,Camera trapping,No
NA,637,Present status and quantity of some animal species in Uzbekistan nature reserves," Chernogaev, E. A., B. K. Kayumov, et al. (2005). Present status and quantity of some animal species in Uzbekistan nature reserves. (personal email from Dr Elena Mukhina). WCMC: personal email from Dr Elena Mukhina.",Mammalia,Carnivora,Ursidae,Ursus,arctos,,"Linnaeus, 1758",Grizzly bear / Brown bear,570,NA,km2,"Chatkal Biosphere Nature Reserve, Uzbekistan",Uzbekistan,Asia,41.13306,69.98306,TRUE,Terrestrial,Temperate grasslands savannas and shrublands,Palearctic,Yes,No,No,unknown,unknown,No
Aranth2006,11052,Assessing tiger population dynamics using photographic capture-recapture samplin," Karanth, K. U., J. D. Nichols, et al. (2006). Assessing tiger population dynamics using photographic capture-recapture sampling."" Ecology (Washington D C) 87(11): 2925-2937.""",Mammalia,Carnivora,Felidae,Panthera,tigris,tigris,"Hilzheimer, 1905",Tiger,642.4,NA,km2,"Nagarahole reserve, Karnataka State, India",India,Asia,12.01667,76.15,TRUE,Terrestrial,Tropical and subtropical moist broadleaf forests,Indo-Malayan,Yes,No,No,Abundance,Camera trapping,No
